,n_negsamps,window_size,embedding_dim,kdims,isoscore,rs,train_data_size,corpus,model
78,10.0,5,50,22.13625112808417,0.4313520638384524,1,50MB,text8-gensim,sgns
79,10.0,5,50,22.17955190703679,0.43223575320483243,2,50MB,text8-gensim,sgns
80,11.0,5,50,22.237569282490345,0.43341978127531317,1,50MB,text8-gensim,sgns
81,11.0,5,50,22.193027036315957,0.43251075584318277,2,50MB,text8-gensim,sgns
82,12.0,5,50,22.312743710147956,0.43495395326832564,1,50MB,text8-gensim,sgns
83,12.0,5,50,22.237872436282437,0.4334259680873967,2,50MB,text8-gensim,sgns
84,13.0,5,50,22.391503786138223,0.4365613017579229,1,50MB,text8-gensim,sgns
85,13.0,5,50,22.437802592501484,0.4375061753571732,2,50MB,text8-gensim,sgns
86,14.0,5,50,22.462631768266238,0.4380128932299232,1,50MB,text8-gensim,sgns
87,14.0,5,50,22.53132107977363,0.43941471591374753,2,50MB,text8-gensim,sgns
88,15.0,5,50,22.44933757963788,0.43774158325791596,1,50MB,text8-gensim,sgns
89,15.0,5,50,22.460709324606956,0.4379736596858562,2,50MB,text8-gensim,sgns
90,1.0,5,50,18.894802658782147,0.36520005426086016,1,100MB,text8-gensim,sgns
91,1.0,5,50,18.88539569726369,0.365008075454361,2,100MB,text8-gensim,sgns
92,2.0,5,50,21.371639969216567,0.41574775447380746,1,100MB,text8-gensim,sgns
93,2.0,5,50,21.543463682742598,0.41925436087229795,2,100MB,text8-gensim,sgns
94,3.0,5,50,22.67481893952995,0.44234324366387656,1,100MB,text8-gensim,sgns
95,3.0,5,50,22.637054659058343,0.4415725440624152,2,100MB,text8-gensim,sgns
96,4.0,5,50,23.176379666026563,0.452579176857685,1,100MB,text8-gensim,sgns
97,4.0,5,50,23.23738042142468,0.4538240902331568,2,100MB,text8-gensim,sgns
98,5.0,5,50,23.614913345362183,0.4615288437829017,1,100MB,text8-gensim,sgns
99,5.0,5,50,23.691006969308958,0.4630817748838563,2,100MB,text8-gensim,sgns
100,6.0,5,50,23.916084020234017,0.4676751840864085,1,100MB,text8-gensim,sgns
101,6.0,5,50,23.8868719772539,0.4670790199439571,2,100MB,text8-gensim,sgns
102,7.0,5,50,24.10143868734818,0.4714579323948608,1,100MB,text8-gensim,sgns
103,7.0,5,50,24.10654527226721,0.4715621484136165,2,100MB,text8-gensim,sgns
104,8.0,5,50,24.108316946219567,0.4715983050248891,1,100MB,text8-gensim,sgns
105,8.0,5,50,24.23854528210175,0.47425602616534185,2,100MB,text8-gensim,sgns
106,9.0,5,50,24.349969950987415,0.4765299989997432,1,100MB,text8-gensim,sgns
107,9.0,5,50,24.373121170378955,0.4770024728648766,2,100MB,text8-gensim,sgns
108,10.0,5,50,24.45566468452332,0.47868703437802695,1,100MB,text8-gensim,sgns
109,10.0,5,50,24.36594915679226,0.4768561052406584,2,100MB,text8-gensim,sgns
110,11.0,5,50,24.513483018954144,0.47986700038681923,1,100MB,text8-gensim,sgns
111,11.0,5,50,24.42404152324921,0.47804166373977974,2,100MB,text8-gensim,sgns
112,12.0,5,50,24.63100220137939,0.48226535104855894,1,100MB,text8-gensim,sgns
113,12.0,5,50,24.45178750140313,0.4786079081919006,2,100MB,text8-gensim,sgns
114,13.0,5,50,24.613700523091588,0.4819122555732977,1,100MB,text8-gensim,sgns
115,13.0,5,50,24.471029591900546,0.4790006039163377,2,100MB,text8-gensim,sgns
116,14.0,5,50,24.59734824421382,0.48157853559620034,1,100MB,text8-gensim,sgns
117,14.0,5,50,24.63097803226403,0.48226485780130673,2,100MB,text8-gensim,sgns
118,15.0,5,50,24.66567341433287,0.48297292682311976,1,100MB,text8-gensim,sgns
119,15.0,5,50,24.665283031850944,0.48296495983369275,2,100MB,text8-gensim,sgns
