,model,language_exposure,kdims,isoscore,checkpoint
152,B-GPT_en_pl_simultaneous,simultaneous,106.93003399990438,0.13810956192947116,64050
153,B-GPT_en_pl_simultaneous,simultaneous,107.03116880721542,0.13824141956612182,64060
154,B-GPT_en_pl_simultaneous,simultaneous,107.1134886531056,0.13834874661421853,64070
155,B-GPT_en_pl_simultaneous,simultaneous,107.18573689560844,0.13844294249753383,64080
156,B-GPT_en_pl_simultaneous,simultaneous,107.25326008028173,0.1385309779403934,64090
157,B-GPT_en_pl_simultaneous,simultaneous,107.31782205669697,0.1386151526162933,64100
158,B-GPT_en_pl_simultaneous,simultaneous,107.38225907158981,0.138699164369739,64110
159,B-GPT_en_pl_simultaneous,simultaneous,107.43821687160919,0.13877212108423623,64120
160,B-GPT_en_pl_simultaneous,simultaneous,107.49364232668849,0.13884438373753388,64130
161,B-GPT_en_pl_simultaneous,simultaneous,107.54798185171484,0.13891523057589938,64140
162,B-GPT_en_pl_simultaneous,simultaneous,107.60123474922581,0.13898466068999454,64150
163,B-GPT_en_pl_simultaneous,simultaneous,107.65267594635678,0.13905172874362032,64160
164,B-GPT_en_pl_simultaneous,simultaneous,107.70111719034664,0.13911488551544543,64170
165,B-GPT_en_pl_simultaneous,simultaneous,107.74923299215097,0.1391776179819439,64180
166,B-GPT_en_pl_simultaneous,simultaneous,107.79534289957486,0.13923773520153176,64190
167,B-GPT_en_pl_simultaneous,simultaneous,107.84327932148501,0.13930023379593875,64200
168,B-GPT_en_pl_simultaneous,simultaneous,108.25858057756118,0.13984169566826748,64300
169,B-GPT_en_pl_simultaneous,simultaneous,108.59995503165015,0.14028677318337698,64400
170,B-GPT_en_pl_simultaneous,simultaneous,108.89350004918474,0.14066949158954986,64500
171,B-GPT_en_pl_simultaneous,simultaneous,109.16220678785716,0.14101982632054388,64600
172,B-GPT_en_pl_simultaneous,simultaneous,109.40314572042278,0.14133395791450168,64700
173,B-GPT_en_pl_simultaneous,simultaneous,109.63092351940013,0.1416309302730119,64800
